OSMPTrailsOSMPOBJECTID,OSMPTrailsOSMPOWNER,OSMPTrailsOSMPBICYCLES,OSMPTrailsOSMPDISPLAY,OSMPTrailsOSMPTRAILTYPE,OSMPTrailsOSMPDATEFROM,OSMPTrailsOSMPDATETO,OSMPTrailsOSMPSEGMENTID,OSMPTrailsOSMPHORSES,OSMPTrailsOSMPRID,OSMPTrailsOSMPTRLID,OSMPTrailsOSMPMILEAGE,OSMPTrailsOSMPMEASUREDFEET,OSMPTrailsOSMPTRAILNAME,OSMPTrailsOSMPGlobalID,OSMPTrailsOSMPDIFFICULTY,OSMPTrailsOSMPDOGS,OSMPTrailsOSMPDOGREGGEN,OSMPTrailsOSMPDOGREGDESC,OSMPTrailsOSMPEBIKES,SHAPESTLength,OSMPTrailClosuresOBJECTID,OSMPTrailClosuresRID,OSMPTrailClosuresCLOSUREDURATION,OSMPTrailClosuresWEBLINK,OSMPTrailClosuresCLOSUREAREA,OSMPTrailClosuresTRAILSTATUS,OSMPTrailClosuresCLOSUREREASON,OSMPTrailClosuresLOCATIONDESCRIPTION,OSMPTrailClosuresCONTACT,OSMPTrailClosuresCOMMENTS,OSMPTrailClosuresGLOBALID,OSMPTrailClosuresSEGMENTID
3071,NCAR,No,Yes,Hiking Trail,2019/06/26 00:00:00+00,2099/12/31 00:00:00+00,231-104-101,No,1706,231,0.08,398,Devils Thumb Access,{C1CBBF0F-CE01-4519-9628-7E8FC8FFB354},Easy,Yes,LR,Leash Required,No,426.2205775,1052,1706,Until Further Notice,,,Open,Maintenance,,https://bouldercolorado.gov/services/osmp-closures,Closed for NCAR Fire,{09CB591B-509F-47C1-91D9-96F8408E3EF4},231-104-101
3072,NCAR,No,Yes,Hiking Trail,2019/06/24 00:00:00+00,2099/12/31 00:00:00+00,230-101-102,No,1699,230,0.554,2851,NCAR - Bear Canyon,{47B576B8-07F9-47FC-8E3E-692CF0E71315},Easy,Yes,LR,Leash Required,No,2925.814702,1053,1699,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/services/osmp-closures,There is a fire on city open space near NCAR in south Boulder.  Stay away from the area.,{19FC251D-8664-4B84-B975-CAF9759CE09B},230-101-102
3073,NCAR,No,Yes,Hiking Trail,2019/06/25 00:00:00+00,2099/12/31 00:00:00+00,230-102-103,No,1700,230,0.444,2349,NCAR - Bear Canyon,{BFB311A3-F61D-4A95-85BC-ECCE7B1364AA},Moderate,Yes,LR,Leash Required,No,2345.749408,1054,1700,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/services/osmp-closures,There is a fire on city open space near NCAR in south Boulder.  Stay away from the area.,{50EAF695-8D93-44D7-B369-0B83CF7982E0},230-102-103
3074,OSMP,No,Yes,Hiking Trail,2019/06/25 00:00:00+00,2099/12/31 00:00:00+00,201-103-115,Yes,1701,201,0.341,1784,Mesa,{95FDA10E-77E3-45DD-867F-A8926C5170D2},Moderate,Yes,LVS,"Leash, Or Voice and Sight Control",No,1798.970298,1055,1701,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/services/osmp-closures,There is a fire on city open space near NCAR in south Boulder.  Stay away from the area.,{EFE38D87-2A1D-45FC-BE72-1B9E6D1BCEFF},201-103-115
3075,OSMP,No,Yes,Hiking Trail,2019/06/25 00:00:00+00,2099/12/31 00:00:00+00,201-115-119,Yes,1702,201,0.036,176,Mesa,{14CA8698-BEE1-42F3-8887-A11D0DDD0BD7},Easy,Yes,LVS,"Leash, Or Voice and Sight Control",No,188.057986,1056,1702,Until Further Notice,,,Open,Maintenance,,https://bouldercolorado.gov/services/osmp-closures,Closed for NCAR Fire,{AA17BA35-7FB7-4B20-8422-96542D7C6B39},201-115-119
3076,OSMP,No,Yes,Hiking Trail,2019/06/25 00:00:00+00,2099/12/31 00:00:00+00,201-119-116,Yes,1703,201,0.088,454,Mesa,{B19C6843-38AA-4A5F-A622-4FFF000DD818},Easy,Yes,LVS,"Leash, Or Voice and Sight Control",No,465.4253598,1057,1703,Until Further Notice,,,Open,Maintenance,,https://bouldercolorado.gov/services/osmp-closures,Closed to Support Fire Operations near Shanahan Ridge,{365A86D2-365A-4C6B-80B4-53245718CF6E},201-119-116
3077,OSMP,No,Yes,Hiking Trail,2019/06/25 00:00:00+00,2099/12/31 00:00:00+00,201-116-117,Yes,1704,201,0.076,383,Mesa,{62BBB37C-D15F-4E26-BAAA-66A24E93137A},Easy,Yes,LVS,"Leash, Or Voice and Sight Control",No,399.810452,1553,1704,,,,Open,Maintenance,,https://bouldercolorado.gov/services/osmp-closures,Closed to Support Fire Operations near Shanahan Ridge,{6B0DEAB5-84B5-4BD1-8F66-4ACD55A8F97E},201-116-117
3078,OSMP,No,Yes,Hiking Trail,2019/06/25 00:00:00+00,2099/12/31 00:00:00+00,201-117-118,Yes,1705,201,0.073,380,Mesa,{DCFC6D34-5C31-45DF-8238-442FBE9FAFAC},Easy,Yes,LVS,"Leash, Or Voice and Sight Control",No,383.8335537,1554,1705,,,,Open,Maintenance,,https://bouldercolorado.gov/services/osmp-closures,Closed to Support Fire Operations near Shanahan Ridge,{B411DA05-A5BB-44A6-B05D-0B820A64B59E},201-117-118
3079,OSMP,No,Yes,Hiking Trail,2019/06/18 00:00:00+00,2099/12/31 00:00:00+00,221-041-040,Yes,1692,221,0.02,124,Cragmoor Connector,{D4F88FFD-787E-4BD2-8676-4ACD0C820B6F},Easy,Yes,LVS,"Leash, Or Voice and Sight Control",No,100.1134162,1555,1692,,,,Open,Maintenance,,https://bouldercolorado.gov/services/osmp-closures,Closed for NCAR Fire,{705F03F5-7447-41A2-BE4E-E65BAED3A4C3},221-041-040
3081,OSMP,No,Yes,Hiking Trail,2019/05/31 00:00:00+00,2099/12/31 00:00:00+00,215-045-046,Yes,1685,215,0.732,3392,South Fork Shanahan,{5CFEE87B-689E-4FBB-917F-9D4873E4829F},Moderate,Yes,LVS,"Leash, Or Voice and Sight Control",No,3865.476841,1557,1685,,,,Open,Maintenance,,https://bouldercolorado.gov/services/osmp-closures,Closed to Support Fire Operations near Shanahan Ridge,{8C019BFC-456A-4590-AEF3-4A92A5A9C837},215-045-046
