object_id,owner,bicycles,display,trail_type,date_from,date_to,segment_id,horses,rid,trail_id,length_miles,length_feet,trail_name_x,global_id,difficulty,dogs,dog_regulation_general,dog_regulation_description,ebikes,geometry_length,dog_access,trail_name_y,latitude,longitude
2681,OSMP,No,Yes,Hiking Trail,2022/08/17 00:00:00+00,2099/12/31 00:00:00+00,417-661-662,No,2166,417,0.03,156.0,Buckingham Park,{6F217AB6-26E3-42E6-BBAB-4287FE1D4DBD},Easy,Yes,LR,Leash Required,No,159.4665229,leash_required,Buckingham Park,40.11117813524102,-105.30686196754283
2681,OSMP,No,Yes,Hiking Trail,2022/08/17 00:00:00+00,2099/12/31 00:00:00+00,417-661-662,No,2166,417,0.03,156.0,Buckingham Park,{6F217AB6-26E3-42E6-BBAB-4287FE1D4DBD},Easy,Yes,LR,Leash Required,No,159.4665229,leash_required,Buckingham Park,40.11169344904483,-105.30695055988923
2681,OSMP,No,Yes,Hiking Trail,2022/08/17 00:00:00+00,2099/12/31 00:00:00+00,417-661-662,No,2166,417,0.03,156.0,Buckingham Park,{6F217AB6-26E3-42E6-BBAB-4287FE1D4DBD},Easy,Yes,LR,Leash Required,No,159.4665229,leash_required,Buckingham Park,40.11158292125364,-105.30656232565453
2681,OSMP,No,Yes,Hiking Trail,2022/08/17 00:00:00+00,2099/12/31 00:00:00+00,417-661-662,No,2166,417,0.03,156.0,Buckingham Park,{6F217AB6-26E3-42E6-BBAB-4287FE1D4DBD},Easy,Yes,LR,Leash Required,No,159.4665229,leash_required,Buckingham Park,40.11143074475419,-105.3066130493457
2681,OSMP,No,Yes,Hiking Trail,2022/08/17 00:00:00+00,2099/12/31 00:00:00+00,417-661-662,No,2166,417,0.03,156.0,Buckingham Park,{6F217AB6-26E3-42E6-BBAB-4287FE1D4DBD},Easy,Yes,LR,Leash Required,No,159.4665229,leash_required,Buckingham Park,40.111466896785245,-105.30666110785232
2681,OSMP,No,Yes,Hiking Trail,2022/08/17 00:00:00+00,2099/12/31 00:00:00+00,417-661-662,No,2166,417,0.03,156.0,Buckingham Park,{6F217AB6-26E3-42E6-BBAB-4287FE1D4DBD},Easy,Yes,LR,Leash Required,No,159.4665229,leash_required,Buckingham Park,40.111466896785245,-105.30666110785232
2681,OSMP,No,Yes,Hiking Trail,2022/08/17 00:00:00+00,2099/12/31 00:00:00+00,417-661-662,No,2166,417,0.03,156.0,Buckingham Park,{6F217AB6-26E3-42E6-BBAB-4287FE1D4DBD},Easy,Yes,LR,Leash Required,No,159.4665229,leash_required,Buckingham Park,40.11158292125364,-105.30656232565453
2682,OSMP,No,Yes,Hiking Trail,2022/08/17 00:00:00+00,2099/12/31 00:00:00+00,417-662-663,No,2167,417,0.04,203.0,Buckingham Park,{2ADB7EEB-FC90-4097-86BF-9DF2AE1FE14C},Easy,Yes,LR,Leash Required,No,208.7285103,leash_required,Buckingham Park,40.111094172870104,-105.30645195221648
2682,OSMP,No,Yes,Hiking Trail,2022/08/17 00:00:00+00,2099/12/31 00:00:00+00,417-662-663,No,2167,417,0.04,203.0,Buckingham Park,{2ADB7EEB-FC90-4097-86BF-9DF2AE1FE14C},Easy,Yes,LR,Leash Required,No,208.7285103,leash_required,Buckingham Park,40.11117813524102,-105.30686196754283
2682,OSMP,No,Yes,Hiking Trail,2022/08/17 00:00:00+00,2099/12/31 00:00:00+00,417-662-663,No,2167,417,0.04,203.0,Buckingham Park,{2ADB7EEB-FC90-4097-86BF-9DF2AE1FE14C},Easy,Yes,LR,Leash Required,No,208.7285103,leash_required,Buckingham Park,40.11169344904483,-105.30695055988923
